,team1,team2,round,winner,t1t_g,t1t_mp,t1t_fg,t1t_fga,t1t_fg_pct,t1t_fg2,t1t_fg2a,t1t_fg2_pct,t1t_fg3,t1t_fg3a,t1t_fg3_pct,t1t_ft,t1t_fta,t1t_ft_pct,t1t_orb,t1t_drb,t1t_trb,t1t_ast,t1t_stl,t1t_blk,t1t_tov,t1t_pf,t1t_pts,t1t_pts_per_g,t1o_g,t1o_mp,t1o_fg,t1o_fga,t1o_fg_pct,t1o_fg2,t1o_fg2a,t1o_fg2_pct,t1o_fg3,t1o_fg3a,t1o_fg3_pct,t1o_ft,t1o_fta,t1o_ft_pct,t1o_orb,t1o_drb,t1o_trb,t1o_ast,t1o_stl,t1o_blk,t1o_tov,t1o_pf,t1o_pts,t1o_pts_per_g,t2t_g,t2t_mp,t2t_fg,t2t_fga,t2t_fg_pct,t2t_fg2,t2t_fg2a,t2t_fg2_pct,t2t_fg3,t2t_fg3a,t2t_fg3_pct,t2t_ft,t2t_fta,t2t_ft_pct,t2t_orb,t2t_drb,t2t_trb,t2t_ast,t2t_stl,t2t_blk,t2t_tov,t2t_pf,t2t_pts,t2t_pts_per_g,t2o_g,t2o_mp,t2o_fg,t2o_fga,t2o_fg_pct,t2o_fg2,t2o_fg2a,t2o_fg2_pct,t2o_fg3,t2o_fg3a,t2o_fg3_pct,t2o_ft,t2o_fta,t2o_ft_pct,t2o_orb,t2o_drb,t2o_trb,t2o_ast,t2o_stl,t2o_blk,t2o_tov,t2o_pf,t2o_pts,t2o_pts_per_g,sum_g,sum_mp,sum_fg,sum_fga,sum_fg_pct,sum_fg2,sum_fg2a,sum_fg2_pct,sum_fg3,sum_fg3a,sum_fg3_pct,sum_ft,sum_fta,sum_ft_pct,sum_orb,sum_drb,sum_trb,sum_ast,sum_stl,sum_blk,sum_tov,sum_pf,sum_pts,sum_pts_per_g
0,Belmont,Temple,1,1,32,6450,1015,2029,.500,681,1136,.599,334,893,.374,427,578,.739,277,961,1238,631,218,121,371,493,2791,87.2,32,6450,865,2041,.424,618,1320,.468,247,721,.343,383,549,.698,300,825,1125,390,197,112,398,533,2360,73.8,33,6700,873,1998,.437,626,1250,.501,247,748,.330,472,649,.727,316,820,1136,476,284,73,368,580,2465,74.7,33,6700,841,1897,.443,602,1170,.515,239,727,.329,437,643,.680,325,897,1222,421,182,85,485,550,2358,71.5,0.0,0.0,118.0,-113.0,0.08200000000000002,39.0,-264.0,0.14499999999999996,79.0,151.0,0.02999999999999997,9.0,23.0,-0.005999999999999894,-14.0,213.0,199.0,186.0,-81.0,21.0,90.0,-70.0,324.0,10.200000000000003
1,North Dakota State,North Carolina Central,1,1,33,6650,828,1816,.456,513,955,.537,315,861,.366,445,575,.774,218,824,1042,383,159,82,349,492,2416,73.2,33,6650,885,1921,.461,641,1240,.517,244,681,.358,368,491,.749,264,824,1088,395,175,86,328,547,2382,72.2,33,6625,850,1866,.456,638,1193,.535,212,673,.315,443,620,.715,387,840,1227,509,207,92,506,590,2355,71.4,33,6625,806,1857,.434,602,1206,.499,204,651,.313,372,558,.667,300,716,1016,430,198,119,444,536,2188,66.3,0.0,0.0,-101.0,-114.0,-0.027000000000000024,-164.0,-272.0,-0.016000000000000014,63.0,158.0,0.006000000000000005,6.0,22.0,-0.02299999999999991,-133.0,-124.0,-257.0,-91.0,-25.0,23.0,-41.0,-109.0,-133.0,-4.1000000000000085
2,Arizona State,St. John's (NY),1,1,32,6500,851,1903,.447,619,1223,.506,232,680,.341,556,829,.671,389,894,1283,435,199,103,434,635,2490,77.8,32,6500,775,1878,.413,501,1062,.472,274,816,.336,514,725,.709,320,811,1131,425,203,111,445,693,2338,73.1,33,6675,922,2031,.454,641,1253,.512,281,778,.361,433,597,.725,252,824,1076,463,290,110,341,628,2558,77.5,33,6675,831,1912,.435,553,1096,.505,278,816,.341,528,746,.708,348,933,1281,450,171,80,508,560,2468,74.8,0.0,0.0,-15.0,-94.0,0.015000000000000013,30.0,4.0,0.027000000000000024,-45.0,-98.0,-0.014999999999999958,137.0,253.0,-0.05499999999999994,165.0,192.0,357.0,-3.0,-123.0,-38.0,156.0,-126.0,62.0,2.0
3,Prairie View,Fairleigh Dickinson,1,0,35,7000,903,2062,.438,678,1359,.499,225,703,.320,596,875,.681,393,761,1154,444,309,55,445,758,2627,75.1,35,7000,863,1887,.457,648,1207,.537,215,680,.316,606,875,.693,393,922,1315,445,174,152,637,759,2547,72.8,34,6900,906,1889,.480,643,1238,.519,263,651,.404,496,680,.729,315,810,1125,478,254,128,460,564,2571,75.6,34,6900,874,1978,.442,606,1209,.501,268,769,.349,412,592,.696,376,764,1140,451,209,110,497,612,2428,71.4,0.0,0.0,8.0,264.0,-0.056999999999999995,-7.0,123.0,-0.05600000000000005,15.0,141.0,-0.051000000000000045,-94.0,-88.0,-0.04499999999999993,61.0,-207.0,-146.0,-28.0,90.0,-115.0,-155.0,47.0,-63.0,-1.8999999999999915
4,Duke,North Dakota State,2,1,34,6825,1037,2173,.477,790,1355,.583,247,818,.302,518,751,.690,455,966,1421,541,322,232,446,539,2839,83.5,34,6825,858,2171,.395,637,1418,.449,221,753,.293,360,521,.691,407,806,1213,418,222,108,498,600,2297,67.6,33,6650,828,1816,.456,513,955,.537,315,861,.366,445,575,.774,218,824,1042,383,159,82,349,492,2416,73.2,33,6650,885,1921,.461,641,1240,.517,244,681,.358,368,491,.749,264,824,1088,395,175,86,328,547,2382,72.2,0.0,0.0,236.0,107.0,0.08699999999999997,281.0,222.0,0.11399999999999993,-45.0,-115.0,0.0010000000000000009,81.0,146.0,-0.026000000000000023,94.0,160.0,254.0,135.0,116.0,128.0,-73.0,-6.0,508.0,14.900000000000006
5,VCU,UCF,2,0,32,6450,801,1811,.442,572,1066,.537,229,745,.307,455,652,.698,347,827,1174,444,255,145,446,634,2286,71.4,32,6450,678,1765,.384,515,1175,.438,163,590,.276,452,656,.689,366,763,1129,346,206,81,520,626,1971,61.6,31,6225,765,1652,.463,554,1056,.525,211,596,.354,495,767,.645,300,839,1139,411,178,139,367,524,2236,72.1,31,6225,715,1810,.395,498,1117,.446,217,693,.313,346,536,.646,347,725,1072,388,174,86,380,665,1993,64.3,0.0,0.0,73.0,204.0,-0.010000000000000009,1.0,-48.0,0.020000000000000018,72.0,252.0,-0.010000000000000009,-146.0,-235.0,0.010000000000000009,28.0,-50.0,-22.0,75.0,45.0,11.0,-61.0,149.0,72.0,2.000000000000007
6,Mississippi State,Liberty,2,1,33,6650,911,1929,.472,627,1177,.533,284,752,.378,446,624,.715,385,798,1183,468,267,164,439,564,2552,77.3,33,6650,824,1885,.437,583,1202,.485,241,683,.353,425,597,.712,338,720,1058,413,195,121,448,544,2314,70.1,34,6800,921,1877,.491,621,1061,.585,300,816,.368,374,485,.771,263,850,1113,505,217,91,373,513,2516,74.0,34,6800,741,1785,.415,525,1110,.473,216,675,.320,368,549,.670,285,753,1038,341,177,88,463,525,2066,60.8,0.0,0.0,-93.0,-48.0,-0.041000000000000036,-52.0,24.0,-0.06399999999999995,-41.0,-72.0,-0.022999999999999965,15.0,91.0,-0.09799999999999998,69.0,-19.0,50.0,-109.0,32.0,40.0,81.0,32.0,-212.0,-6.0
7,Virginia Tech,Saint Louis,2,1,32,6450,824,1732,.476,517,953,.542,307,779,.394,413,545,.758,285,758,1043,491,213,74,363,489,2368,74.0,32,6450,690,1701,.406,407,848,.480,283,853,.332,324,449,.722,286,673,959,389,162,93,450,522,1987,62.1,35,7000,836,1999,.418,635,1347,.471,201,652,.308,474,793,.598,480,912,1392,454,248,142,446,611,2347,67.1,35,7000,778,1900,.409,552,1178,.469,226,722,.313,449,625,.718,300,862,1162,427,207,138,455,660,2231,63.7,0.0,0.0,76.0,-68.0,0.06099999999999994,27.0,-64.0,0.06000000000000005,49.0,-4.0,0.067,64.0,-72.0,0.15600000000000003,-181.0,35.0,-146.0,75.0,10.0,-23.0,-78.0,16.0,265.0,8.500000000000007
8,Maryland,Belmont,2,1,32,6400,807,1777,.454,575,1120,.513,232,657,.353,437,584,.748,351,901,1252,423,139,151,420,495,2283,71.3,32,6400,744,1876,.397,508,1137,.447,236,739,.319,358,498,.719,296,683,979,387,228,110,303,562,2082,65.1,32,6450,1015,2029,.500,681,1136,.599,334,893,.374,427,578,.739,277,961,1238,631,218,121,371,493,2791,87.2,32,6450,865,2041,.424,618,1320,.468,247,721,.343,383,549,.698,300,825,1125,390,197,112,398,533,2360,73.8,0.0,0.0,-87.0,-87.0,-0.019000000000000017,4.0,167.0,-0.06499999999999995,-91.0,-254.0,0.0030000000000000027,35.0,57.0,-0.01200000000000001,78.0,82.0,160.0,-205.0,-110.0,32.0,144.0,-27.0,-230.0,-7.200000000000003
9,LSU,Yale,2,1,32,6575,912,1974,.462,693,1297,.534,219,677,.323,561,744,.754,431,810,1241,420,291,138,422,597,2604,81.4,32,6575,821,1884,.436,570,1148,.497,251,736,.341,444,645,.688,353,726,1079,357,209,94,480,630,2337,73.0,29,5875,866,1740,.498,644,1143,.563,222,597,.372,399,542,.736,249,870,1119,495,172,126,383,494,2353,81.1,29,5875,751,1828,.411,532,1127,.472,219,701,.312,402,549,.732,276,707,983,369,203,87,327,501,2123,73.2,0.0,0.0,-24.0,178.0,-0.061,11.0,133.0,-0.05399999999999994,-35.0,45.0,-0.07800000000000001,120.0,106.0,0.062000000000000055,105.0,-79.0,26.0,-63.0,113.0,5.0,-114.0,-26.0,37.0,0.5000000000000142
10,Louisville,Minnesota,2,0,33,6700,828,1908,.434,543,1074,.506,285,834,.342,519,670,.775,338,924,1262,442,147,97,407,569,2460,74.5,33,6700,790,1949,.405,562,1230,.457,228,719,.317,430,617,.697,321,820,1141,383,193,114,375,637,2238,67.8,34,6825,840,1922,.437,662,1368,.484,178,554,.321,549,808,.679,388,872,1260,504,163,136,407,550,2407,70.8,34,6825,868,1999,.434,640,1326,.483,228,673,.339,388,566,.686,336,836,1172,436,203,153,385,653,2352,69.2,0.0,0.0,66.0,36.0,0.025999999999999968,-41.0,-198.0,0.04799999999999999,107.0,234.0,0.04300000000000004,-72.0,-189.0,0.08500000000000008,-35.0,68.0,33.0,-9.0,-6.0,0.0,10.0,35.0,167.0,5.1000000000000085
11,Michigan State,Bradley,2,1,34,6850,944,1944,.486,662,1209,.548,282,735,.384,510,680,.750,366,1024,1390,645,178,186,437,575,2680,78.8,34,6850,793,2098,.378,546,1320,.414,247,778,.317,395,582,.679,372,714,1086,421,218,100,349,622,2228,65.5,34,6825,790,1822,.434,559,1190,.470,231,632,.366,453,654,.693,311,858,1169,410,183,128,430,595,2264,66.6,34,6825,756,1838,.411,515,1104,.466,241,734,.328,456,638,.715,305,822,1127,406,193,85,424,630,2209,65.0,0.0,0.0,117.0,-138.0,0.08499999999999996,72.0,-197.0,0.13000000000000012,45.0,59.0,0.029000000000000026,118.0,82.0,0.09299999999999997,-12.0,274.0,262.0,220.0,-30.0,43.0,82.0,-12.0,397.0,11.700000000000003
12,Gonzaga,Fairleigh Dickinson,2,1,33,6600,1062,1997,.532,805,1293,.623,257,704,.365,551,718,.767,315,960,1275,594,249,178,342,530,2932,88.8,33,6600,788,2028,.389,571,1326,.431,217,702,.309,354,509,.695,357,715,1072,324,170,64,447,617,2147,65.1,34,6900,906,1889,.480,643,1238,.519,263,651,.404,496,680,.729,315,810,1125,478,254,128,460,564,2571,75.6,34,6900,874,1978,.442,606,1209,.501,268,769,.349,412,592,.696,376,764,1140,451,209,110,497,612,2428,71.4,0.0,0.0,242.0,58.0,0.10500000000000004,197.0,-62.0,0.174,45.0,120.0,0.0009999999999999454,113.0,121.0,0.039000000000000035,19.0,199.0,218.0,243.0,34.0,96.0,-68.0,-39.0,642.0,19.500000000000014
13,Syracuse,Baylor,2,0,33,6625,787,1855,.424,525,1061,.495,262,794,.330,465,683,.681,356,790,1146,396,273,158,410,576,2301,69.7,33,6625,718,1806,.398,440,946,.465,278,860,.323,454,628,.723,396,826,1222,486,218,104,516,608,2168,65.7,32,6425,816,1853,.440,562,1105,.509,254,748,.340,407,604,.674,428,794,1222,443,196,152,424,599,2293,71.7,32,6425,743,1762,.422,516,1097,.470,227,665,.341,437,643,.680,320,699,1019,411,191,135,397,577,2150,67.2,0.0,0.0,-4.0,-42.0,0.007999999999999952,39.0,107.0,-0.009000000000000064,-43.0,-149.0,0.008000000000000007,41.0,94.0,-0.03599999999999992,-148.0,-131.0,-279.0,-122.0,50.0,37.0,-133.0,-54.0,-10.0,-0.5
14,Marquette,Murray State,2,0,33,6675,869,1895,.459,558,1104,.505,311,791,.393,516,680,.759,317,932,1249,450,159,141,455,615,2565,77.7,33,6675,789,1964,.402,565,1262,.448,224,702,.319,478,701,.682,333,772,1105,395,230,97,390,630,2280,69.1,31,6200,938,1890,.496,696,1195,.582,242,695,.348,464,629,.738,333,839,1172,561,235,142,376,505,2582,83.3,31,6200,767,1869,.410,582,1214,.479,185,655,.282,382,531,.719,347,709,1056,347,179,106,440,548,2101,67.8,0.0,0.0,-91.0,-90.0,-0.029000000000000026,-121.0,-139.0,-0.045999999999999985,30.0,49.0,0.008000000000000007,-44.0,-119.0,0.05799999999999994,-2.0,30.0,28.0,-159.0,-127.0,8.0,129.0,28.0,-196.0,-6.8999999999999915
15,Florida State,Vermont,2,1,34,6900,879,1984,.443,624,1224,.510,255,760,.336,534,721,.741,389,882,1271,438,237,145,459,651,2547,74.9,34,6900,774,1891,.409,535,1157,.462,239,734,.326,495,683,.725,325,787,1112,342,187,102,486,631,2282,67.1,33,6650,841,1834,.459,584,1105,.529,257,729,.353,500,665,.752,300,861,1161,390,186,133,361,541,2439,73.9,33,6650,747,1779,.420,510,1098,.464,237,681,.348,336,466,.721,232,779,1011,347,178,90,432,639,2067,62.6,0.0,0.0,11.0,38.0,-0.0050000000000000044,15.0,60.0,-0.017000000000000015,-4.0,-22.0,0.0050000000000000044,-125.0,-161.0,-0.015000000000000013,-4.0,13.0,9.0,53.0,42.0,0.0,44.0,118.0,-107.0,-3.499999999999993
16,Buffalo,Arizona State,2,1,34,6825,1033,2232,.463,708,1264,.560,325,968,.336,497,719,.691,428,967,1395,573,249,138,402,617,2888,84.9,34,6825,863,2064,.418,635,1310,.485,228,754,.302,444,642,.692,343,918,1261,349,175,105,528,664,2398,70.5,32,6500,851,1903,.447,619,1223,.506,232,680,.341,556,829,.671,389,894,1283,435,199,103,434,635,2490,77.8,32,6500,775,1878,.413,501,1062,.472,274,816,.336,514,725,.709,320,811,1131,425,203,111,445,693,2338,73.1,0.0,0.0,94.0,143.0,0.01100000000000001,-45.0,-207.0,0.041000000000000036,139.0,350.0,0.029000000000000026,11.0,-27.0,0.03699999999999992,16.0,-34.0,-18.0,214.0,78.0,41.0,-115.0,11.0,338.0,9.700000000000003
17,Texas Tech,Northern Kentucky,2,1,32,6425,837,1774,.472,605,1144,.529,232,630,.368,433,595,.728,282,810,1092,429,232,157,396,567,2339,73.1,32,6425,626,1699,.368,423,1026,.412,203,673,.302,442,639,.692,324,706,1030,305,204,78,501,602,1897,59.3,34,6850,956,1986,.481,655,1163,.563,301,823,.366,477,717,.665,358,901,1259,581,212,136,424,647,2690,79.1,34,6850,806,1934,.417,568,1173,.484,238,761,.313,488,675,.723,315,795,1110,410,199,125,455,621,2338,68.8,0.0,0.0,61.0,23.0,0.03999999999999998,95.0,128.0,0.03800000000000009,-34.0,-105.0,0.013000000000000012,2.0,-86.0,0.09399999999999997,-85.0,-2.0,-87.0,-47.0,15.0,68.0,-74.0,-61.0,90.0,3.5
18,Nevada,Florida,2,0,33,6600,905,1944,.466,613,1113,.551,292,831,.351,560,791,.708,307,927,1234,494,204,129,338,563,2662,80.7,33,6600,791,1933,.409,533,1161,.459,258,772,.334,358,533,.672,303,851,1154,412,150,80,450,698,2200,66.7,34,6875,814,1908,.427,537,1080,.497,277,828,.335,416,579,.718,361,780,1141,416,244,126,400,581,2321,68.3,34,6875,763,1803,.423,544,1118,.487,219,685,.320,419,607,.690,362,798,1160,372,209,96,503,584,2164,63.6,0.0,0.0,63.0,-94.0,0.05300000000000005,87.0,-10.0,0.08200000000000002,-24.0,-84.0,0.0019999999999999463,205.0,286.0,0.007999999999999896,5.0,94.0,99.0,38.0,19.0,19.0,-9.0,-132.0,305.0,9.300000000000004
19,Michigan,Montana,2,1,34,6800,876,1945,.450,602,1163,.518,274,782,.350,367,526,.698,277,914,1191,475,209,143,298,477,2393,70.4,34,6800,760,1903,.399,600,1349,.445,160,554,.289,311,474,.656,305,878,1183,344,126,114,407,508,1991,58.6,34,6825,953,1919,.497,671,1181,.568,282,738,.382,422,612,.690,286,856,1142,498,222,101,406,637,2610,76.8,34,6825,798,1852,.431,567,1175,.483,231,677,.341,496,662,.749,281,772,1053,360,189,96,460,595,2323,68.3,0.0,0.0,-39.0,-25.0,-0.015000000000000013,-102.0,-192.0,-0.011999999999999955,63.0,167.0,0.020000000000000018,130.0,102.0,0.10099999999999998,-33.0,-48.0,-81.0,-7.0,50.0,24.0,-55.0,-73.0,115.0,3.3000000000000043
20,Virginia,Gardner-Webb,2,1,32,6425,820,1715,.478,549,1053,.521,271,662,.409,388,520,.746,284,828,1112,464,180,122,289,469,2299,71.8,32,6425,636,1675,.380,450,990,.455,186,685,.272,304,467,.651,289,665,954,279,166,88,351,505,1762,55.1,34,6950,933,1912,.488,661,1216,.544,272,696,.391,524,737,.711,268,901,1169,492,233,99,391,545,2662,78.3,34,6950,843,2047,.412,540,1119,.483,303,928,.327,408,566,.721,382,812,1194,458,196,99,453,591,2397,70.5,0.0,0.0,94.0,175.0,0.021999999999999964,-22.0,-34.0,0.004999999999999949,116.0,209.0,0.07299999999999995,-32.0,-118.0,0.10499999999999998,109.0,74.0,183.0,151.0,-23.0,34.0,0.0,10.0,272.0,8.899999999999999
21,Ole Miss,Oklahoma,2,0,32,6425,847,1844,.459,586,1115,.526,261,729,.358,458,585,.783,315,783,1098,459,234,116,405,579,2413,75.4,32,6425,798,1810,.441,563,1179,.478,235,631,.372,421,601,.700,327,722,1049,444,193,110,467,550,2252,70.4,32,6425,830,1864,.445,618,1244,.497,212,620,.342,405,586,.691,295,908,1203,406,190,99,390,504,2277,71.2,32,6425,796,1978,.402,526,1168,.450,270,810,.333,321,476,.674,348,837,1185,398,218,117,391,551,2183,68.2,0.0,0.0,15.0,148.0,-0.024999999999999967,-69.0,-140.0,0.0010000000000000564,84.0,288.0,-0.02300000000000002,-47.0,-126.0,0.06600000000000017,41.0,-10.0,31.0,7.0,69.0,24.0,-61.0,76.0,67.0,2.0
22,Wisconsin,Oregon,2,0,33,6725,854,1885,.453,619,1243,.498,235,642,.366,336,518,.649,269,893,1162,421,169,139,314,496,2279,69.1,33,6725,746,1899,.393,538,1232,.437,208,667,.312,327,492,.665,322,851,1173,340,170,133,375,575,2027,61.4,35,7050,886,1970,.450,620,1195,.519,266,775,.343,429,597,.719,340,871,1211,467,272,149,412,622,2467,70.5,35,7050,747,1860,.402,500,1020,.490,247,840,.294,462,657,.703,340,807,1147,416,183,96,487,589,2203,62.9,0.0,0.0,-31.0,-124.0,0.01200000000000001,-39.0,-164.0,0.03199999999999997,8.0,40.0,0.004999999999999949,42.0,86.0,-0.03200000000000003,-53.0,-22.0,-75.0,30.0,-90.0,-47.0,14.0,-112.0,-12.0,0.09999999999999432
23,Kansas State,UC-Irvine,2,0,33,6600,784,1818,.431,551,1124,.490,233,694,.336,371,559,.664,308,792,1100,454,251,75,372,532,2172,65.8,33,6600,695,1678,.414,471,960,.491,224,718,.312,341,512,.666,271,794,1065,382,204,94,490,547,1955,59.2,35,7100,945,2058,.459,707,1398,.506,238,660,.361,423,608,.696,412,992,1404,463,199,148,412,648,2551,72.9,35,7100,760,1998,.380,540,1335,.404,220,663,.332,476,675,.705,356,790,1146,331,182,94,399,594,2216,63.3,0.0,0.0,-96.0,80.0,-0.062,-87.0,101.0,-0.10299999999999998,-9.0,-21.0,-0.004999999999999949,83.0,114.0,0.007000000000000006,-19.0,-204.0,-223.0,-60.0,30.0,-73.0,-131.0,-69.0,-118.0,-3.000000000000014
24,Villanova,Saint Mary's,2,1,34,6875,840,1912,.439,479,889,.539,361,1023,.353,491,675,.727,357,843,1200,485,184,103,371,558,2532,74.5,34,6875,825,1903,.434,575,1156,.497,250,747,.335,381,545,.699,318,792,1110,464,182,78,394,630,2281,67.1,33,6625,876,1850,.474,631,1202,.525,245,648,.378,409,549,.745,324,823,1147,332,198,84,347,561,2406,72.9,33,6625,779,1785,.436,601,1225,.491,178,560,.318,388,525,.739,248,713,961,334,164,111,351,529,2124,64.4,0.0,0.0,-82.0,-56.0,-0.032999999999999974,-126.0,-244.0,0.008000000000000007,44.0,188.0,-0.04200000000000004,89.0,106.0,0.02200000000000002,-37.0,-59.0,-96.0,23.0,-32.0,52.0,-19.0,-104.0,-31.0,-1.0999999999999943
25,Purdue,Old Dominion,2,1,32,6450,857,1920,.446,546,1066,.512,311,854,.364,413,564,.732,391,789,1180,462,208,129,341,558,2438,76.2,32,6450,732,1739,.421,475,991,.479,257,748,.344,417,569,.733,285,728,1013,404,154,121,417,540,2138,66.8,34,6800,806,1960,.411,548,1229,.446,258,731,.353,382,579,.660,408,916,1324,435,190,155,399,560,2252,66.2,34,6800,716,1833,.391,477,1098,.434,239,735,.325,396,594,.667,302,854,1156,378,165,84,413,561,2067,60.8,0.0,0.0,35.0,54.0,0.00500000000000006,0.0,-56.0,0.02100000000000002,35.0,110.0,-0.007999999999999952,10.0,10.0,0.006000000000000005,0.0,-1.0,-1.0,1.0,29.0,-63.0,-62.0,19.0,115.0,4.0
26,Cincinnati,Iowa,2,0,34,6850,844,1953,.432,618,1307,.473,226,646,.350,524,744,.704,431,801,1232,457,210,153,358,545,2438,71.7,34,6850,737,1816,.406,464,1038,.447,273,778,.351,368,554,.664,328,727,1055,373,132,125,462,644,2115,62.2,33,6650,862,1894,.455,595,1155,.515,267,739,.361,593,801,.740,343,836,1179,519,204,108,401,529,2584,78.3,33,6650,887,1979,.448,620,1160,.534,267,819,.326,389,569,.684,343,802,1145,524,220,90,433,680,2430,73.6,0.0,0.0,132.0,222.0,0.01899999999999996,179.0,274.0,0.044999999999999984,-47.0,-52.0,-0.035999999999999976,-48.0,-42.0,-0.016000000000000014,103.0,40.0,143.0,89.0,94.0,10.0,-72.0,52.0,169.0,4.799999999999997
27,Tennessee,Colgate,2,1,34,6875,1014,2039,.497,781,1395,.560,233,644,.362,520,682,.762,347,930,1277,619,203,184,380,593,2781,81.8,34,6875,806,2021,.399,532,1209,.440,274,812,.337,448,684,.655,399,763,1162,421,217,86,439,635,2334,68.6,34,6875,930,1939,.480,625,1153,.542,305,786,.388,413,557,.741,319,890,1209,531,210,120,443,532,2578,75.8,34,6875,854,1969,.434,586,1171,.500,268,798,.336,405,569,.712,315,759,1074,441,243,107,414,569,2381,70.0,0.0,0.0,132.0,48.0,0.05199999999999999,210.0,204.0,0.07800000000000001,-78.0,-156.0,-0.027000000000000024,64.0,10.0,0.07799999999999996,-56.0,36.0,-20.0,108.0,19.0,85.0,-88.0,-5.0,250.0,7.400000000000006
28,North Carolina Central,Iona,2,1,33,6625,850,1866,.456,638,1193,.535,212,673,.315,443,620,.715,387,840,1227,509,207,92,506,590,2355,71.4,33,6625,806,1857,.434,602,1206,.499,204,651,.313,372,558,.667,300,716,1016,430,198,119,444,536,2188,66.3,32,6400,835,1842,.453,553,1038,.533,282,804,.351,507,684,.741,282,844,1126,420,217,89,394,552,2459,76.8,32,6400,865,1946,.445,558,1111,.502,307,835,.368,383,561,.683,352,845,1197,483,175,118,425,600,2420,75.6,0.0,0.0,74.0,113.0,0.014000000000000012,41.0,60.0,0.0050000000000000044,33.0,53.0,0.019000000000000017,-53.0,-61.0,-0.010000000000000009,157.0,125.0,282.0,142.0,-33.0,2.0,93.0,102.0,128.0,3.9000000000000057
29,Utah State,Washington,2,0,34,6850,940,1983,.474,673,1231,.547,267,752,.355,543,727,.747,366,1002,1368,583,211,142,428,632,2692,79.2,34,6850,765,1957,.391,493,1174,.420,272,783,.347,469,661,.710,286,778,1064,388,207,113,417,666,2271,66.8,34,6825,835,1845,.453,581,1111,.523,254,734,.346,450,648,.694,322,754,1076,397,305,193,452,625,2374,69.8,34,6825,763,1841,.414,548,1191,.460,215,650,.331,448,635,.706,394,768,1162,446,209,84,551,626,2189,64.4,0.0,0.0,103.0,22.0,0.04399999999999993,147.0,137.0,0.06400000000000006,-44.0,-115.0,-0.006999999999999951,72.0,53.0,0.049000000000000044,152.0,238.0,390.0,244.0,-92.0,-80.0,110.0,-33.0,236.0,7.000000000000014
30,Auburn,New Mexico State,2,1,35,7050,956,2135,.448,560,1083,.517,396,1052,.376,477,669,.713,419,793,1212,501,330,168,424,636,2785,79.6,35,7050,808,1865,.433,517,1041,.497,291,824,.353,477,675,.707,373,851,1224,419,203,125,615,607,2384,68.1,34,6825,937,2041,.459,618,1089,.567,319,952,.335,464,687,.675,435,869,1304,501,191,89,403,607,2657,78.1,34,6825,763,1825,.418,523,1101,.475,240,724,.331,415,590,.703,231,748,979,291,164,64,450,691,2181,64.1,0.0,0.0,-26.0,54.0,-0.026000000000000023,-52.0,54.0,-0.07199999999999995,26.0,0.0,0.019000000000000017,-49.0,-103.0,0.03399999999999992,-158.0,-179.0,-337.0,-128.0,100.0,18.0,-144.0,113.0,-75.0,-2.5
31,Kansas State,Northeastern,2,1,33,6600,784,1818,.431,551,1124,.490,233,694,.336,371,559,.664,308,792,1100,454,251,75,372,532,2172,65.8,33,6600,695,1678,.414,471,960,.491,224,718,.312,341,512,.666,271,794,1065,382,204,94,490,547,1955,59.2,33,6725,864,1791,.482,542,961,.564,322,830,.388,461,614,.751,230,818,1048,473,203,71,371,528,2511,76.1,33,6725,855,1870,.457,629,1198,.525,226,672,.336,383,524,.731,263,781,1044,391,179,69,371,577,2319,70.3,0.0,0.0,80.0,219.0,-0.007999999999999952,167.0,401.0,-0.039999999999999925,-87.0,-182.0,-0.02799999999999997,-48.0,-43.0,-0.02200000000000002,70.0,-39.0,31.0,-10.0,23.0,-21.0,-118.0,34.0,25.0,0.7999999999999972
